observation_name	name	tax_id	tax_id_name	tax_rank	proteome
AF001-Bn-Y1-S1-LF-4F-01	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S1-LF-4F-04	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S1-LF-4F-05	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S1-RH-4F-02	Trichoderma	5543	Trichoderma__taxid__5543	genus	UP000005426,UP000007115,UP000008984,UP000034112,UP000054821,UP000240493,UP000240760,UP000241546,UP000241690,UP000266272,UP000517252,UP000827724,UP001273209
AF001-Bn-Y1-S1-RH-4F-04	Trichoderma	5543	Trichoderma__taxid__5543	genus	UP000005426,UP000007115,UP000008984,UP000034112,UP000054821,UP000240493,UP000240760,UP000241546,UP000241690,UP000266272,UP000517252,UP000827724,UP001273209
AF001-Bn-Y1-S2-LF-15F-01	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S2-LF-15F-03	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S2-LF-15F-05	Aspergillus	5052	Aspergillus__taxid__5052	genus	UP000000560,UP000002530,UP000006564,UP000006701,UP000006702,UP000006706,UP000007963,UP000019804,UP000034291,UP000037505,UP000054771,UP000094569,UP000179179,UP000184063,UP000184073,UP000184300,UP000184304,UP000184356,UP000184383,UP000184499,UP000184546,UP000188318,UP000215289,UP000215305,UP000231358,UP000234275,UP000234474,UP000234585,UP000246702,UP000247233,UP000247810,UP000248340,UP000248349,UP000248423,UP000248961,UP000249402,UP000249829,UP000253729,UP000256690,UP000266188,UP000272442,UP000286921,UP000308092,UP000325579,UP000325672,UP000325780,UP000326198,UP000326268,UP000326289,UP000326532,UP000326565,UP000326799,UP000326950,UP000327118,UP000452235,UP000541154,UP000596276,UP000630445,UP000637239,UP000641853,UP000653565,UP000654913,UP000661280,UP000710440,UP001194746
AF001-Bn-Y1-S2-LF-1F-01	Didymellaceae	683158	Didymellaceae__taxid__683158	family	UP000076837,UP000193240,UP000651452,UP000758155,UP000800082,UP001140510,UP001140562
AF001-Bn-Y1-S2-LF-1F-03	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S2-LF-1F-04	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S2-LF-1F-07	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
AF001-Bn-Y1-S2-LF-4F-04	Botrytis	33196	Botrytis__taxid__33196	genus	UP000001798,UP000008177,UP000297229,UP000297280,UP000531561
