observation_name,3.2.1.91,3.2.1.4,3.1.1.73,3.2.1.150,4.2.2.10,3.2.1.67,3.2.1.15,3.2.1.8,3.2.1.37,1.1.1.67,3.2.1.23,3.2.1.89,3.2.1.181,3.2.1.164,3.1.1.1,3.5.1.4,3.5.5.1,4.1.1.105,4.1.1.28,2.6.1.1,2.6.1.27,4.2.99.21,5.4.4.2,2.3.1.16,1.3.1.42,1.3.3.6,1.14.13.1,1.13.11.4,PWY-6784,PWY-6788,PWY-6717,PWY-7248,PWY-6807,PWY-581,PWY-3161,PWY-5025,PWY-5026,TRPIAACAT-PWY,PWY-6406,PWY-8321,PWY-735,PWY-6183,PWY-6640
AF001-Bn-Y1-S1-LF-4F-01,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S1-LF-4F-04,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S1-LF-4F-05,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S1-RH-4F-02,1,8,4,0,0,4,1,3,2,0,1,0,0,1,1,9,3,4,4,2,1,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,1/19,1/1,NA
AF001-Bn-Y1-S1-RH-4F-04,1,8,4,0,0,4,1,3,2,0,1,0,0,1,1,9,3,4,4,2,1,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,1/19,1/1,NA
AF001-Bn-Y1-S2-LF-15F-01,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S2-LF-15F-03,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S2-LF-15F-05,2,7,4,0,2,5,2,3,1,1,2,1,1,0,4,9,2,3,3,2,1,1,2,1,1,2,11,0,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,2/2,1/3,2/19,1/1,NA
AF001-Bn-Y1-S2-LF-1F-01,1,7,5,0,2,2,3,3,2,1,3,1,0,0,2,10,2,3,3,2,2,0,1,1,2,1,7,0,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,NA
AF001-Bn-Y1-S2-LF-1F-03,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S2-LF-1F-04,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S2-LF-1F-07,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S2-LF-4F-04,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF001-Bn-Y1-S2-RO-4F-01,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF002-Bn-Y1-S1-RH-4F-02,1,8,4,0,0,4,1,3,2,0,1,0,0,1,1,9,3,4,4,2,1,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,1/19,1/1,NA
AF002-Bn-Y1-S1-RH-4F-03,1,8,4,0,0,4,1,3,2,0,1,0,0,1,1,9,3,4,4,2,1,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,1/19,1/1,NA
AF002-Bn-Y1-S1-RO-4F-04,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF002-Bn-Y1-S2-LF-1F-01,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF002-Bn-Y1-S2-LF-1F-02,0,4,3,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,1,3,1,0,1,0,2,2,1,1,1/3,2/3,1/2,3/5,6/8,4/12,1/2,1/2,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF002-Bn-Y1-S2-LF-1F-05,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF002-Bn-Y1-S2-RH-4F-03,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF003-Bn-Y1-S1-RH-4F-01,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF003-Bn-Y1-S1-RH-4F-02,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF003-Bn-Y1-S2-LF-15F-01,1,7,5,0,2,2,3,3,2,1,3,1,0,0,2,10,2,3,3,2,2,0,1,1,2,1,7,0,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,NA
AF003-Bn-Y1-S2-LF-15F-02,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF003-Bn-Y1-S2-LF-15F-03,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF003-Bn-Y1-S2-LF-1F-01,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
AF003-Bn-Y1-S2-RH-15F-01,2,6,6,0,1,4,1,2,1,1,2,1,0,0,6,10,3,3,3,2,2,0,1,2,2,2,8,1,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,1/5
AF003-Bn-Y1-S2-RH-4F-01,1,8,4,0,0,4,1,3,2,0,1,0,0,1,1,9,3,4,4,2,1,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,1/19,1/1,NA
AF003-Bn-Y1-S2-RH-4F-02,1,8,4,0,0,4,1,3,2,0,1,0,0,1,1,9,3,4,4,2,1,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,1/19,1/1,NA
AF004-Bn-Y1-S1-LF-4F-02,2,6,4,0,2,2,1,3,2,1,3,1,1,0,3,12,2,3,3,3,1,0,1,1,2,2,8,1,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,2/19,1/1,1/5
AF004-Bn-Y1-S1-RH-4F-02,2,8,4,0,2,3,1,5,3,1,3,1,1,0,2,13,1,4,4,3,2,0,1,1,1,2,5,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
