model,3.2.1.91,3.2.1.4,3.1.1.73,3.2.1.150,4.2.2.10,3.2.1.67,3.2.1.15,3.2.1.8,3.2.1.37,1.1.1.67,3.2.1.23,3.2.1.89,3.2.1.181,3.2.1.164,3.1.1.1,3.5.1.4,3.5.5.1,4.1.1.105,4.1.1.28,2.6.1.1,2.6.1.27,4.2.99.21,5.4.4.2,2.3.1.16,1.3.1.42,1.3.3.6,1.14.13.1,1.13.11.4,PWY-6784,PWY-6788,PWY-6717,PWY-7248,PWY-6807,PWY-581,PWY-3161,PWY-5025,PWY-5026,TRPIAACAT-PWY,PWY-6406,PWY-8321,PWY-735,PWY-6183,PWY-6640
Alternaria,2,6,5,0,2,2,2,4,2,1,2,1,0,1,3,12,1,3,3,2,0,0,1,0,2,1,6,0,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,NA
Aspergillaceae,3,9,4,0,1,5,1,3,1,1,2,1,0,0,6,12,2,3,3,2,1,0,1,0,3,2,9,0,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,NA
Aspergillus,2,7,4,0,2,5,2,3,1,1,2,1,1,0,4,9,2,3,3,2,1,1,2,1,1,2,11,0,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,2/2,1/3,2/19,1/1,NA
Bionectriaceae,2,7,4,0,2,2,0,3,2,1,1,1,0,0,1,9,2,3,3,3,1,0,1,1,2,1,3,0,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,NA
Botrytis,3,8,3,0,1,4,2,4,3,0,2,1,0,0,3,8,1,3,3,3,2,0,2,0,2,1,9,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
Chaetomiaceae,1,9,3,0,1,1,0,3,2,0,3,1,1,0,3,9,2,3,3,2,2,0,1,1,2,0,6,0,2/3,3/3,2/2,3/5,5/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,NA
Cordycipitaceae,0,6,6,0,0,2,0,0,0,0,3,0,0,0,1,11,2,3,3,2,1,0,1,0,2,1,6,2,1/3,2/3,1/2,3/5,6/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
Debaryomycetaceae,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,2,0,1,1,1,1,0,0,1/3,2/3,1/2,1/5,1/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,NA,NA
Didymellaceae,1,7,5,0,2,2,3,3,2,1,3,1,0,0,2,10,2,3,3,2,2,0,1,1,2,1,7,0,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,2/19,1/1,NA
Didymosphaeriaceae,2,6,4,0,2,2,1,3,2,1,3,1,1,0,3,12,2,3,3,3,1,0,1,1,2,2,8,1,2/3,3/3,2/2,3/5,7/8,2/12,NA,NA,1/1,NA,1/2,1/3,2/19,1/1,1/5
Fusarium,2,8,4,0,2,3,1,5,3,1,3,1,1,0,2,13,1,4,4,3,2,0,1,1,1,2,5,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
Fusarium oxysporum,2,8,4,0,2,3,1,5,3,1,2,1,1,0,2,16,1,4,4,2,3,0,1,0,2,2,10,1,2/3,3/3,2/2,3/5,7/8,3/12,NA,NA,1/1,1/3,1/2,1/3,1/19,1/1,1/5
